YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,NK,597,N528NK,MSP,FLL,115,127,12,14,141,207,220,166,1487,527,40,542,607,25,0,0,,25,0,0,0,0
2015,1,1,4,NK,168,N629NK,PHX,ORD,125,237,72,9,246,204,175,156,1440,622,10,549,632,43,0,0,,43,0,0,0,0
2015,1,1,4,HA,17,N389HA,LAS,HNL,145,145,0,16,201,370,385,361,2762,602,8,555,610,15,0,0,,0,0,15,0,0
2015,1,1,4,B6,1030,N239JB,BQN,MCO,307,304,-3,25,329,173,196,160,1129,509,11,500,520,20,0,0,,20,0,0,0,0
2015,1,1,4,B6,2134,N307JB,SJU,MCO,400,535,95,9,544,185,175,163,1189,727,3,605,730,85,0,0,,0,0,85,0,0
2015,1,1,4,B6,2276,N646JB,SJU,BDL,438,550,72,15,605,241,258,237,1666,902,6,739,908,89,0,0,,17,0,72,0,0
2015,1,1,4,AA,1057,N3ASAA,DFW,MIA,515,703,108,15,718,161,155,133,1121,1031,7,856,1038,102,0,0,,0,0,0,0,102
2015,1,1,4,US,425,N174US,PDX,PHX,520,620,60,13,633,150,150,132,1009,945,5,850,950,60,0,0,,0,0,60,0,0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,520,618,58,19,637,141,137,111,964,928,7,841,935,54,0,0,,0,0,54,0,0
2015,1,1,4,AA,328,N4XKAA,DEN,DFW,530,623,53,32,655,125,138,96,641,931,10,835,941,66,0,0,,13,0,53,0,0
2015,1,1,4,UA,1532,N77066,SFO,DEN,531,550,19,15,605,146,153,127,967,912,11,857,923,26,0,0,,7,0,19,0,0
2015,1,1,4,B6,2023,N324JB,JFK,SJU,535,618,43,13,631,225,201,184,1598,1035,4,1020,1039,19,0,0,,0,0,19,0,0
2015,1,1,4,UA,1577,N69813,SMF,DEN,538,634,56,26,700,142,164,129,909,1009,9,900,1018,78,0,0,,22,0,56,0,0
2015,1,1,4,DL,824,N3736C,PHX,DTW,540,808,148,19,827,223,203,178,1671,1325,6,1123,1331,128,0,0,,0,0,0,0,128
2015,1,1,4,OO,6285,N962SW,MFR,DEN,540,538,-2,42,620,161,188,138,964,938,8,921,946,25,0,0,,25,0,0,0,0
2015,1,1,4,AA,2299,N3LLAA,JFK,MIA,545,640,55,17,657,185,199,152,1089,929,30,850,959,69,0,0,,14,0,55,0,0
2015,1,1,4,F9,365,N218FR,MKE,DEN,545,621,36,9,630,161,142,120,896,730,13,726,743,17,0,0,,0,0,17,0,0
2015,1,1,4,OO,2599,N435SW,DEN,LAX,545,658,73,11,709,150,133,112,862,801,10,715,811,56,0,0,,0,0,56,0,0
2015,1,1,4,UA,507,N808UA,CLE,IAH,550,629,39,11,640,194,198,170,1091,830,17,804,847,43,0,0,,4,0,39,0,0
2015,1,1,4,OO,6204,N917SW,BFL,DEN,550,556,6,31,627,150,164,125,845,932,8,920,940,20,0,0,,14,0,6,0,0
2015,1,1,4,OO,5160,N794SK,OMA,IAH,550,605,15,16,621,140,146,120,781,821,10,810,831,21,0,0,,6,0,15,0,0
2015,1,1,4,AA,1094,N3DXAA,SEA,DFW,555,555,0,24,619,235,251,216,1660,1155,11,1150,1206,16,0,0,,16,0,0,0,0
2015,1,1,4,EV,5976,N27200,BUF,EWR,555,928,213,38,1006,80,93,48,282,1054,7,715,1101,226,0,0,,13,0,0,0,213
2015,1,1,4,NK,224,N607NK,ORD,LGA,556,547,-9,16,603,124,160,92,733,835,52,900,927,27,0,0,,27,0,0,0,0
2015,1,1,4,OO,5547,N910SW,ONT,DEN,559,758,119,4,802,141,138,123,819,1105,11,920,1116,116,0,0,,0,0,0,0,116
2015,1,1,4,UA,247,N462UA,PHX,IAH,600,751,111,31,822,148,160,118,1009,1120,11,928,1131,123,0,0,,12,0,0,0,111
2015,1,1,4,UA,544,N831UA,PIT,IAH,600,622,22,19,641,195,197,175,1117,836,3,815,839,24,0,0,,2,0,22,0,0
2015,1,1,4,WN,2215,N249WN,ABQ,HOU,600,607,7,29,636,120,135,103,759,919,3,900,922,22,0,0,,15,0,7,0,0
2015,1,1,4,AA,233,N3BEAA,BWI,MIA,600,643,43,21,704,163,151,124,946,908,6,843,914,31,0,0,,0,0,31,0,0
2015,1,1,4,AA,1297,N3JYAA,LGA,MIA,600,708,68,17,725,192,174,151,1096,956,6,912,1002,50,0,0,,0,0,50,0,0
2015,1,1,4,AA,1660,N567AA,SMF,DFW,600,611,11,29,640,210,230,190,1431,1150,11,1130,1201,31,0,0,,20,0,11,0,0
2015,1,1,4,AA,2363,N560AA,OKC,DFW,600,610,10,42,652,65,85,39,175,731,4,705,735,30,0,0,,20,0,10,0,0
2015,1,1,4,B6,838,N715JB,BQN,JFK,600,601,1,11,612,232,246,225,1576,857,10,852,907,15,0,0,,14,0,1,0,0
2015,1,1,4,DL,743,N341NW,RNO,SLC,600,600,0,31,631,100,118,68,422,839,19,840,858,18,0,0,,18,0,0,0,0
2015,1,1,4,DL,1205,N612DL,PHX,ATL,600,804,124,16,820,207,190,169,1587,1309,5,1127,1314,107,0,0,,0,0,0,0,107
2015,1,1,4,B6,1502,N535JB,FLL,JFK,600,610,10,13,623,163,170,146,1069,849,11,843,900,17,0,0,,7,0,10,0,0
2015,1,1,4,B6,1504,N640JB,SJU,JFK,600,627,27,17,644,242,274,248,1598,952,9,902,1001,59,0,0,,32,0,27,0,0
2015,1,1,4,EV,4431,N14158,SAV,EWR,600,726,86,18,744,126,125,98,708,922,9,806,931,85,0,0,,85,0,0,0,0
2015,1,1,4,EV,4756,N13908,CLT,ORD,600,559,-1,26,625,123,142,109,599,714,7,703,721,18,0,0,,18,0,0,0,0
2015,1,1,4,EV,6133,N12996,ERI,ORD,600,616,16,11,627,92,95,79,398,646,5,632,651,19,0,0,,3,0,16,0,0
2015,1,1,4,F9,902,N949FR,ATL,TTN,600,619,19,11,630,110,115,98,701,808,6,750,814,24,0,0,,5,0,19,0,0
2015,1,1,4,NK,943,N605NK,ACY,RSW,600,742,102,10,752,171,155,141,982,1013,4,851,1017,86,0,0,,86,0,0,0,0
2015,1,1,4,NK,316,N601NK,DTW,LGA,600,558,-2,11,609,98,158,67,502,716,80,738,836,58,0,0,,58,0,0,0,0
2015,1,1,4,NK,972,N606NK,DFW,FLL,600,603,3,56,659,159,191,131,1119,1010,4,939,1014,35,0,0,,35,0,0,0,0
2015,1,1,4,OO,5242,N744SK,BOI,LAX,600,639,39,24,703,130,121,89,674,732,8,710,740,30,0,0,,0,0,30,0,0
2015,1,1,4,OO,5466,N568SW,CLD,LAX,600,654,54,48,742,51,85,24,86,806,13,651,819,88,0,0,,34,0,0,0,54
2015,1,1,4,OO,6497,N913SW,FAT,DEN,600,559,-1,34,633,145,179,132,844,945,13,925,958,33,0,0,,33,0,0,0,0
2015,1,1,4,OO,5629,N726SK,PSP,SFO,601,632,31,11,643,94,80,65,421,748,4,735,752,17,0,0,,0,0,0,0,17
2015,1,1,4,OO,6420,N924SW,PSP,DEN,601,812,131,8,820,131,144,107,776,1107,29,912,1136,144,0,0,,13,0,0,0,131
2015,1,1,4,UA,234,N838UA,SMF,IAH,605,613,8,29,642,216,227,193,1609,1155,5,1141,1200,19,0,0,,11,0,8,0,0
2015,1,1,4,B6,922,N809JB,PBI,BOS,605,621,16,13,634,172,184,163,1197,917,8,857,925,28,0,0,,12,0,16,0,0
2015,1,1,4,B6,1434,N503JB,SJU,MCO,605,738,93,12,750,188,183,165,1189,935,6,813,941,88,0,0,,0,0,0,88,0
2015,1,1,4,DL,1456,N3759,RDU,ATL,605,701,56,11,712,90,73,57,356,809,5,735,814,39,0,0,,0,0,39,0,0
2015,1,1,4,EV,4642,N14143,TUS,IAH,605,613,8,29,642,142,153,117,936,939,7,927,946,19,0,0,,11,0,8,0,0
2015,1,1,4,F9,133,N951FR,DFW,DEN,605,702,57,18,720,122,117,91,641,751,8,707,759,52,0,0,,0,0,52,0,0
2015,1,1,4,US,1709,N677AW,EWR,CLT,610,616,6,29,645,121,130,95,529,820,6,811,826,15,0,0,,9,0,6,0,0
2015,1,1,4,DL,1492,N819DN,PHX,MSP,610,756,106,20,816,186,173,145,1276,1141,8,1016,1149,93,0,0,,0,0,0,0,93
2015,1,1,4,B6,1554,N760JB,SJU,FLL,610,625,15,13,638,163,167,147,1046,805,7,753,812,19,0,0,,4,0,15,0,0
2015,1,1,4,F9,1252,N910FR,MIA,LGA,610,648,38,16,704,175,177,147,1096,931,14,905,945,40,0,0,,26,0,14,0,0
2015,1,1,4,EV,4506,N12552,MLU,IAH,612,641,29,3,644,73,72,58,262,742,11,725,753,28,0,0,,28,0,0,0,0
2015,1,1,4,WN,1966,N466WN,CMH,ATL,615,831,136,13,844,110,90,65,447,949,12,805,1001,116,0,0,,0,0,116,0,0
2015,1,1,4,B6,962,N709JB,SJU,BOS,615,731,76,12,743,247,261,244,1674,1047,5,922,1052,90,0,0,,14,0,76,0,0
2015,1,1,4,DL,2384,N361NB,SMF,SLC,615,608,-7,36,644,98,121,80,532,904,5,853,909,16,0,0,,16,0,0,0,0
2015,1,1,4,EV,2522,N879AS,LAW,DFW,615,1219,364,27,1246,55,67,30,140,1316,10,710,1326,376,0,0,,12,0,364,0,0
2015,1,1,4,EV,4531,N14204,CHS,IAH,615,623,8,27,650,172,200,163,925,833,10,807,843,36,0,0,,28,0,8,0,0
2015,1,1,4,MQ,3432,N546MQ,DCA,JFK,615,859,164,10,909,63,60,41,213,950,9,718,959,161,0,0,,0,46,115,0,0
2015,1,1,4,OO,6571,N886AS,DRO,PHX,615,631,16,61,732,84,124,57,351,829,6,739,835,56,0,0,,40,0,0,0,16
2015,1,1,4,EV,4468,N14125,CAE,IAH,620,621,1,25,646,161,184,154,878,820,5,801,825,24,0,0,,23,0,1,0,0
2015,1,1,4,UA,1026,N39423,MCO,IAH,621,637,16,13,650,153,157,137,854,807,7,754,814,20,0,0,,4,0,16,0,0
2015,1,1,4,AA,127,N3GHAA,IAD,DFW,625,622,-3,14,636,210,230,200,1172,856,16,855,912,17,0,0,,17,0,0,0,0
2015,1,1,4,AA,1207,N3DPAA,PHL,DFW,625,909,164,21,930,235,238,206,1303,1156,11,920,1207,167,0,0,,3,0,164,0,0
2015,1,1,4,DL,2234,N970DL,BWI,MSP,625,709,44,10,719,171,163,149,936,848,4,816,852,36,0,0,,0,0,36,0,0
2015,1,1,4,US,674,N831AW,EWR,PHX,630,630,0,21,651,341,363,339,2133,1030,3,1011,1033,22,0,0,,22,0,0,0,0
2015,1,1,4,UA,572,N404UA,AUS,IAH,630,658,28,18,716,61,53,30,140,746,5,731,751,20,0,0,,0,0,20,0,0
2015,1,1,4,UA,577,N458UA,SFO,EWR,630,746,76,15,801,329,308,286,2565,1547,7,1459,1554,55,0,0,,0,0,55,0,0
2015,1,1,4,US,595,N519UW,ONT,PHX,630,914,164,14,928,74,66,48,325,1116,4,844,1120,156,0,0,,0,0,0,0,156
2015,1,1,4,F9,295,N202FR,TPA,DEN,630,750,80,13,803,245,234,214,1506,937,7,835,944,69,0,0,,0,0,69,0,0
2015,1,1,4,F9,1246,N912FR,DEN,DFW,630,634,4,10,644,110,123,96,641,920,17,920,937,17,0,0,,13,0,0,0,4
2015,1,1,4,UA,410,N403UA,MIA,ORD,635,633,-2,36,709,200,221,174,1197,903,11,855,914,19,0,0,,19,0,0,0,0
2015,1,1,4,AA,1441,N3GYAA,JFK,LAS,635,656,21,24,720,350,374,342,2248,1002,8,925,1010,45,0,0,,24,0,21,0,0
2015,1,1,4,AS,709,N769AS,SLC,SJC,640,747,67,28,815,123,106,75,584,830,3,743,833,50,0,0,,0,0,0,0,50
2015,1,1,4,AA,2476,N3LEAA,BDL,MIA,640,634,-6,13,647,206,232,164,1194,931,55,1006,1026,20,0,0,,20,0,0,0,0
2015,1,1,4,NK,705,N588NK,LGA,FLL,640,828,108,19,847,186,175,147,1076,1114,9,946,1123,97,0,0,,97,0,0,0,0
2015,1,1,4,OO,5492,N703SK,MSN,ORD,640,643,3,31,714,57,71,28,108,742,12,737,754,17,0,0,,14,0,3,0,0
2015,1,1,4,UA,792,N802UA,BUF,ORD,645,718,33,23,741,106,110,85,473,806,2,731,808,37,0,0,,4,0,33,0,0
2015,1,1,4,AA,1287,N3BBAA,MSP,MIA,645,714,29,26,740,225,212,179,1501,1139,7,1130,1146,16,0,0,,0,0,16,0,0
2015,1,1,4,AA,2326,N3KEAA,MIA,DCA,645,718,33,16,734,150,148,127,919,941,5,915,946,31,0,0,,0,0,0,31,0
2015,1,1,4,EV,6042,N21144,LNK,DEN,645,717,32,20,737,99,95,69,423,746,6,724,752,28,0,0,,0,0,0,0,28
2015,1,1,4,F9,110,N206FR,DEN,MSP,645,711,26,9,720,115,105,88,680,948,8,940,956,16,0,0,,0,0,16,0,0
2015,1,1,4,UA,284,N832UA,PHX,SFO,650,751,61,27,818,134,121,89,651,847,5,804,852,48,0,0,,0,0,0,0,48
2015,1,1,4,US,408,N521UW,PHL,PHX,650,640,-10,19,659,325,351,327,2075,1026,5,1015,1031,16,0,0,,16,0,0,0,0
2015,1,1,4,AA,2226,N426AA,DFW,TPA,650,800,70,17,817,135,135,114,929,1111,4,1005,1115,70,0,0,,0,0,70,0,0
2015,1,1,4,OO,5536,N779SK,PSP,IAH,650,801,71,10,811,178,162,147,1269,1238,5,1148,1243,55,0,0,,0,0,0,0,55
2015,1,1,4,HA,332,N483HA,HNL,ITO,651,738,47,17,755,50,56,33,216,828,6,741,834,53,0,0,,0,0,53,0,0
2015,1,1,4,NK,111,N522NK,DTW,LAS,652,714,22,11,725,273,277,262,1749,847,4,825,851,26,0,0,,26,0,0,0,0
2015,1,1,4,MQ,3188,N507MQ,ABQ,ORD,655,712,17,21,733,155,173,119,1118,1032,33,1030,1105,35,0,0,,18,0,17,0,0
2015,1,1,4,UA,1195,N57864,MCO,SFO,700,1228,328,13,1241,360,338,317,2446,1458,8,1000,1506,306,0,0,,0,0,0,306,0
